week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2023-08-14,6,0,6,0.0,-102.18,-3.2016,9193.88,-1.0992
2023-08-21,5,2,3,0.4,-7.55,-0.2763,9186.33,-0.0821
2023-08-28,1,1,0,1.0,9.41,0.2915,9195.74,0.1024
2023-09-04,4,2,2,0.5,72.87,3.2418,9268.61,0.7924
2023-09-11,5,3,2,0.6,-23.38,-0.7572,9245.23,-0.2522
2023-09-18,5,0,5,0.0,-164.35,-4.8682,9080.88,-1.7777
2023-09-25,5,1,4,0.2,-66.1,-1.9656,9014.78,-0.7279
2023-10-02,5,1,4,0.2,-126.31,-3.7492,8888.47,-1.4011
2023-10-09,4,2,2,0.5,22.66,0.8152,8911.13,0.2549
2023-10-16,6,1,5,0.1667,10.53,0.2336,8921.66,0.1182
2023-10-23,5,0,5,0.0,-125.97,-3.8117,8795.69,-1.412
2023-10-30,2,1,1,0.5,28.09,0.9487,8823.78,0.3194
2023-11-06,5,3,2,0.6,-3.77,0.0755,8820.01,-0.0427
2023-11-13,6,5,1,0.8333,282.44,8.6497,9102.45,3.2023
2023-11-20,7,3,4,0.4286,45.37,1.3896,9147.82,0.4984
2023-11-27,2,2,0,1.0,16.86,0.5437,9164.68,0.1843
2023-12-04,8,6,2,0.75,158.15,5.0469,9322.83,1.7256
2023-12-11,3,2,1,0.6667,100.96,2.9063,9423.79,1.0829
2023-12-18,6,3,3,0.5,44.26,1.4764,9468.05,0.4697
2023-12-25,1,1,0,1.0,56.04,1.9858,9524.09,0.5919
2024-01-01,0,0,0,,0.0,0.0,9524.09,0.0
2024-01-08,4,0,4,0.0,-109.71,-3.2809,9414.38,-1.1519
2024-01-15,1,0,1,0.0,-0.93,-0.0285,9413.45,-0.0099
2024-01-22,5,0,5,0.0,-110.32,-3.3142,9303.13,-1.1719
2024-01-29,5,2,3,0.4,-42.98,-1.2026,9260.15,-0.462
2024-02-05,5,4,1,0.8,18.68,0.6251,9278.83,0.2017
2024-02-12,5,3,2,0.6,70.3,2.406,9349.13,0.7576
2024-02-19,0,0,0,,0.0,0.0,9349.13,0.0
2024-02-26,5,3,2,0.6,92.26,2.9593,9441.39,0.9868
2024-03-04,5,2,3,0.4,-96.15,-2.8205,9345.24,-1.0184
2024-03-11,5,3,2,0.6,-4.38,-0.1214,9340.86,-0.0469
2024-03-18,1,1,0,1.0,12.99,0.389,9353.85,0.1391
2024-03-25,7,4,3,0.5714,166.68,4.9972,9520.53,1.7819
2024-04-01,6,4,2,0.6667,125.95,3.575,9646.48,1.3229
2024-04-08,6,1,5,0.1667,-96.79,-3.1828,9549.69,-1.0034
2024-04-15,5,1,4,0.2,-128.97,-4.0226,9420.72,-1.3505
2024-04-22,5,2,3,0.4,-14.74,-0.3876,9405.98,-0.1565
2024-04-29,4,1,3,0.25,-78.07,-2.475,9327.91,-0.83
2024-05-06,5,3,2,0.6,42.06,1.3817,9369.97,0.4509
2024-05-13,4,2,2,0.5,-12.32,-0.3461,9357.65,-0.1315
2024-05-20,7,3,4,0.4286,3.1,-0.2614,9360.75,0.0331
2024-05-27,0,0,0,,0.0,0.0,9360.75,0.0
2024-06-03,5,0,5,0.0,-77.06,-2.4074,9283.69,-0.8232
2024-06-10,2,1,1,0.5,32.33,0.9386,9316.02,0.3482
2024-06-17,8,8,0,1.0,207.65,6.2931,9523.67,2.229
2024-06-24,3,3,0,1.0,53.29,1.5419,9576.96,0.5596
2024-07-01,6,3,3,0.5,24.62,0.5951,9601.58,0.2571
2024-07-08,4,0,4,0.0,-92.13,-3.1129,9509.45,-0.9595
2024-07-15,7,5,2,0.7143,273.31,8.2451,9782.76,2.8741
2024-07-22,3,0,3,0.0,-64.86,-2.3918,9717.9,-0.663
2024-07-29,5,2,3,0.4,-28.24,-0.837,9689.66,-0.2906
2024-08-05,5,3,2,0.6,87.03,2.7227,9776.69,0.8982
2024-08-12,6,4,2,0.6667,75.5,2.4164,9852.19,0.7722
2024-08-19,5,2,3,0.4,-0.76,0.031,9851.43,-0.0077
2024-08-26,6,4,2,0.6667,50.32,1.3261,9901.75,0.5108
2024-09-02,0,0,0,,0.0,0.0,9901.75,0.0
